"tyear","Period","Agriculture","CropProduction","Livestock","Forestry","Fishing","Industry","MiningAndQuarrying","CrudePetroleumAndNaturalGas","CoalMining","MetalOres","QuarryingAndOtherMinerals","Manufacturing","OilRefining","Cement","FoodBeverageAndTobacco","TextileApparelAndFootwear","WoodAndWoodProducts","PulpPaperAndPaperProducts","ChemicalAndPharmaceuticalProducts","NonMetallicProducts","PlasticAndRubberProducts","ElectricalAndElectronics","BasicMetalIronAndSteel","MotorVehiclesAndAssembly","OtherManufacturing","ElectricityGasSteamAndAirCon","WaterSupplySewageWaste","Construction","Services","Trade","AccommodationAndFoodServices","TransportationAndStorage","RoadTransport","RailTransportAndPipelines","WaterTransport","AirTransport","TransportServices","PostAndCourierServices","InformationAndCommunication","Publishing","MotionPicturesSoundRecordingAndMusicProduction","Broadcasting","ArtsEntertainmentAndRecreation","FinanceAndInsurance","FinancialInstitutions","Insurance","RealEstate","ProfessionalScientificAndTechnicalServices","AdministrativeAndSupportServicesBusinessServices","PublicAdministration","Education","HumanHealthAndSocialServices","OtherServices","GDP at 2010 Constant Basic Prices","NetTaxesOnProducts","GDP at 2010 Constant Market Prices"
"2013","Q4","4178.39","3756.82","294.1","43.06","84.41","3809.78","1632.63","1608.67","1.47","0.45","22.04","1482.23","86.03","97.2","748.58","277.57","43.7","11.15","24.69","38.04","35.24","1.24","37.07","10.98","70.72","90","14.01","590.91","9143.99","2803.48","168.4","207.12","170.86","0.06","0.87","18.06","11.78","5.5","1904.17","3.49","149.63","199.17","27.54","445.18","385.45","59.73","1433.83","647.17","3.51","511.16","400.67","106.5","485.25","17132.16","186.24","17318.41",
"2013","Annual","14750.52","13247.8","1030.94","154.31","317.47","15682.46","7188.15","7105.28","5.5","3.33","74.04","5826.36","344.71","376.45","2938.61","1096.39","171.31","44.02","92.64","148.21","138.51","4.76","141.11","44.4","285.25","328.76","66.81","2272.38","32785.73","10507.9","540.63","738.08","616.13","0.16","3.92","59.14","39.14","19.6","6783.07","14.23","610.87","737.32","112.44","1833.65","1592.13","241.52","4904.64","2265.11","13.72","1828.84","1278.41","427.72","1551.53","63218.72","724.12","63942.85",
"2014","Q1","3033.97","2643.11","264.91","36.69","89.25","4223.47","1849.63","1826.67","2","1.13","19.84","1648.57","73.94","117.34","748.29","375.61","46.84","11.88","27.31","49.68","43.93","1.2","38.78","14.41","99.36","80.22","17.75","627.29","8181.24","2678.51","156.26","160.21","135.02","0.02","0.67","13.57","6.06","4.87","1681.21","3.99","184.08","217","32.85","517.77","457.46","60.31","1052.42","538.01","3.14","445.39","307.2","109","499.26","15438.68","162.37","15601.05",
"2014","Q2","3360.45","2983.93","250.46","41.16","84.91","4175","1753.53","1731.38","1.95","1.32","18.88","1634.73","80.5","119.05","760.29","346.81","48.03","12.31","33.41","48.75","44.46","1.22","39.52","13.69","86.68","67.01","24.17","695.57","8549.17","2697.76","125.86","190.84","160.47","0.06","1.24","12.58","10.97","5.53","1898.29","4.31","198.64","207.72","34.48","517.58","442.6","74.98","1251.3","553.52","3.54","470.24","274.9","119.84","411.03","16084.62","164.74","16249.37",
"2014","Q3","4655.32","4281.85","260.49","38.52","74.46","4230.77","1848.97","1826.08","0.82","0.89","21.17","1718.99","92.55","123.58","808.19","353.01","48.67","12.91","34.24","51.25","45.93","1.32","41.04","14.02","92.28","60.45","22.46","579.91","8593.04","2796.9","169.95","199.76","164.18","0.03","1.38","16.14","13.13","4.89","1674.17","3.65","171.47","175.24","30.02","465.89","406.65","59.23","1332.69","631.1","3.66","441.97","364.18","119.12","363.62","17479.13","228.41","17707.53",
"2014","Q4","4330.65","3884.56","310.98","44.97","90.13","4112.92","1654.9","1627.68","1.81","0.54","24.86","1681.93","64.39","128.31","787.23","362.91","49.53","13.14","32.82","49.29","46.05","1.32","43.77","13.64","89.52","92.53","17.86","665.7","9706.8","2952.62","187.64","219.88","179.63","0.06","0.97","18.57","14.54","6.1","2003.39","4.1","181.57","227.41","31.84","481.43","417.07","64.37","1519.31","667.81","3.63","517.34","445.68","124.67","551.54","18150.36","269.15","18419.51",
"2014","Annual","15380.39","13793.45","1086.85","161.34","338.75","16742.15","7107.03","7011.81","6.59","3.88","84.75","6684.22","311.38","488.28","3104","1438.34","193.07","50.24","127.77","198.96","180.37","5.07","163.11","55.77","367.84","300.21","82.23","2568.46","35030.24","11125.8","639.71","770.69","639.3","0.17","4.26","60.87","44.69","21.39","7257.06","16.05","735.77","827.37","129.18","1982.67","1723.78","258.89","5155.73","2390.44","13.98","1874.94","1391.95","472.63","1825.45","67152.79","824.67","67977.46",
"2015","Q1","3176.6","2760.88","281.97","38.28","95.47","4116.74","1703.41","1677.85","2.29","1.22","22.04","1637.07","34.12","144.57","742.15","355.96","50.63","12.69","34.29","58.55","53.92","1.23","40.51","14.73","93.73","57.82","21.07","697.37","8757.27","2851.77","197.92","166.4","139.38","0.02","0.73","14.42","6.52","5.33","1840.8","4.51","219.23","272.57","38.82","564.4","501","63.39","1084.79","575.22","3.31","389.6","328.51","111.3","604.42","16050.6","153.2","16203.8",
"2015","Q2","3477.85","3079.45","265.99","42.81","89.61","4036.7","1637.48","1613.75","2.14","1.41","20.18","1572.34","28.55","146.13","715.46","335.8","50.72","13.14","38.83","55.12","52.01","1.22","40.58","13.63","81.13","59.23","27.45","740.2","8948.8","2834.61","114.57","200.08","168.4","0.06","1.34","12.98","11.51","5.78","2017.15","4.73","195.48","260.01","36.65","550.73","471.97","78.76","1288.49","586.85","3.65","420.19","294.87","122.7","478.25","16463.34","159.71","16623.05",
"2015","Q3","4816.52","4423.69","274.83","39.38","78.62","4225.39","1869.88","1845.39","0.9","0.95","22.64","1688.87","81.93","149.8","736.52","358.24","51.44","13.79","39.42","58.03","53.4","1.32","42.21","12.45","90.31","61.74","25.6","579.3","8934.32","2920.1","160.75","209.45","172.37","0.04","1.49","16.65","13.79","5.12","1762.35","4.01","171","201.49","31.94","496.47","434.19","62.29","1360.1","665.08","3.77","385.49","393.44","122.1","423.28","17976.23","232.24","18208.48",
"2015","Q4","4481.26","4010.93","328.53","46.79","95.01","3987.83","1521.74","1492.97","1.95","0.58","26.24","1688.34","56.29","155.67","742.93","373.01","52.42","14.05","38.45","55.53","53.29","1.36","44.89","11.87","88.57","93.64","20.76","663.35","10064.67","3091.1","180.98","229.52","187.67","0.06","1.05","19.07","15.28","6.38","2087.81","4.45","179.93","257.61","33.92","512.29","444.67","67.63","1531.31","688.92","3.75","449.5","481.89","128.23","645.43","18533.75","211.61","18745.36",
"2015","Annual","15952.22","14274.94","1151.32","167.26","358.7","16366.66","6732.51","6629.96","7.27","4.16","91.11","6586.62","200.88","596.17","2937.06","1423.02","205.21","53.67","150.99","227.23","212.63","5.13","168.19","52.68","353.74","272.43","94.88","2680.22","36705.05","11697.59","654.22","805.46","667.81","0.18","4.62","63.12","47.11","22.62","7708.11","17.7","765.64","991.68","141.33","2123.9","1851.83","272.07","5264.7","2516.07","14.47","1644.78","1498.71","484.34","2151.38","69023.93","756.76","69780.69",
"2016","Q1","3274.73","2844.12","292.86","39.16","98.58","3841.54","1603.9","1597.16","2.36","1.92","2.45","1522.49","26.41","138.28","659.62","345.42","50.45","12.49","36.31","61.78","56.51","0.97","40.08","11.9","82.27","32.11","23.09","659.95","8827.45","2909.26","183.25","190.91","162.96","0.02","0.76","14.73","6.67","5.78","1915.71","4.71","208","291.26","42.08","500.72","435.07","65.65","1033.87","569.88","3.29","372.47","341.07","111.91","653.02","15943.71","143.52","16087.23",
"2016","Q2","3635.53","3224.83","282.79","44.45","83.47","3746.44","1450.44","1426.08","2.19","1.47","20.69","1519.45","42.59","138.12","675.88","330.07","47.71","12.33","39.74","56.73","53.63","1.19","41.34","9.63","70.48","53.03","29.78","693.74","8836.57","2833.63","107.24","189.4","162.14","0.06","1.35","12.65","11.34","1.86","2044.48","4.84","183.74","275.75","37.31","491.16","409.47","81.69","1220.53","593.11","3.5","394.45","303.37","119.46","498.94","16218.54","130.75","16349.29",
"2016","Q3","5035.07","4639.61","276.91","40.2","78.35","3690.49","1446.35","1420.27","0.83","1.01","24.25","1614.89","81.23","140.42","694.14","354.98","48.2","13.19","38.82","59.78","55.1","1.27","42.62","8.31","76.84","57.62","27.82","543.81","8829.88","2879.66","152.91","210.97","174.54","0.04","1.51","16.13","13.7","5.06","1781.89","4.11","164.69","214.12","32.58","509.6","446.55","63.05","1259.87","674.36","3.77","371.73","393.01","119.28","440.26","17555.44","220.53","17775.97",
"2016","Q4","4662.01","4185.89","332.56","47.83","95.73","3639.68","1259.13","1228.69","1.96","0.62","27.85","1645.4","55.74","147.39","723.26","377.04","50.57","13.41","37.92","56.2","55.03","1.29","45.35","7.56","74.64","88.81","22.99","623.35","9911.85","3046.5","176.02","217.31","179.67","0.06","1.06","16.54","14.88","5.09","2116.63","4.47","177.99","271.35","34.61","526.03","457.67","68.37","1389.34","698.94","3.82","430.86","481.48","125.04","665.26","18213.54","226.4","18439.94",
"2016","Annual","16607.34","14894.45","1185.12","171.64","356.13","14918.15","5759.82","5672.21","7.34","5.02","75.24","6302.23","205.97","564.21","2752.9","1407.5","196.93","51.43","152.79","234.5","220.27","4.72","169.4","37.39","304.22","231.57","103.68","2520.85","36405.75","11669.06","619.42","808.6","679.31","0.18","4.69","60.05","46.58","17.79","7858.7","18.13","734.43","1052.47","146.58","2027.51","1748.75","278.76","4903.6","2536.29","14.37","1569.52","1518.93","475.69","2257.47","67931.24","721.19","68652.43",
"2017","Q1","3385.6","2943.53","297.9","40.18","103.99","3617.46","1356.85","1347.99","2.41","2.7","3.74","1543.19","27.21","140.82","686.44","349.45","51.7","12.65","35.98","61.33","55.5","0.84","39.77","7.5","74.01","30.5","26.01","660.92","8794.91","2819.56","176","211.05","183.09","0.02","0.77","14.96","6.4","5.81","1968.09","4.76","214.14","296.62","46.99","504.07","437.68","66.39","1001.77","578.3","3.33","364.77","344.01","113.1","663.88","15797.97","121.69","15919.66",
"2017","Q2","3745.09","3328.49","289.23","46.18","81.2","3827.76","1501.3","1476.4","2.3","1.45","21.15","1529.17","47.39","132.38","693.95","330.72","46.71","12.11","39.35","58.89","54.56","1.17","41.39","7.73","62.81","71.86","30.8","694.62","8761.87","2787.86","102.9","177.69","150.47","0.06","1.35","12.67","11.27","1.88","2020.91","4.98","175.41","290.72","37.08","542.51","457.72","84.78","1177.5","582.92","3.44","400.89","299.29","118.31","510.58","16334.72","142.71","16477.42",
"2017","Q3","5189.37","4787.57","283.89","41.79","76.12","3976.03","1773.74","1747.41","0.51","1.12","24.7","1568.85","44.35","134.02","698.17","355.65","48.8","12.96","38.91","60.85","55.47","1.28","42.48","6.54","69.37","64.22","27.91","541.31","8594.83","2829.61","153.18","197.78","163.55","0.04","1.51","16.21","13.73","2.74","1702.14","4.2","160.85","217.55","32.72","479.21","417.33","61.88","1207.99","665.06","3.79","369.04","388.21","118.26","447.83","17760.23","228.72","17988.95",
"2017","Q4","4859.44","4377.46","333.19","49.19","99.61","3817.03","1393.89","1366.25","2.02","0.82","24.8","1647.68","29.96","144.55","739","383.25","50.77","13.78","39.75","58.03","56.91","1.3","46.05","7.58","76.76","103.04","23.28","649.14","9921.6","3109.42","177.39","253.33","215.06","0.06","1.1","17.32","15.29","4.49","2085.76","4.61","179.81","293.01","35.84","527.21","469.59","57.63","1307.13","703.4","3.91","428.92","476.47","124.56","688.25","18598.07","221.59","18819.66",
"2017","Annual","17179.5","15437.05","1204.21","177.33","360.91","15238.28","6025.78","5938.05","7.24","6.1","74.4","6288.9","148.92","551.78","2817.56","1419.07","197.98","51.49","153.99","239.1","222.44","4.59","169.68","29.35","282.95","269.62","107.99","2545.99","36073.21","11546.45","609.47","839.85","712.17","0.18","4.75","61.16","46.68","14.92","7776.9","18.54","730.21","1097.9","152.63","2053","1782.33","270.68","4694.39","2529.68","14.47","1563.62","1507.98","474.24","2310.55","68490.98","714.71","69205.69",
"2018","Q1","3487.31","3045.16","292.39","41.36","108.4","3855.58","1548.23","1537.04","2.47","3.94","4.77","1595.56","29.13","148.25","723.94","355.92","52.49","13.08","36.47","58.3","55.75","0.92","40.11","7.67","73.54","32","29.03","650.77","8753.76","2747.17","176.5","241.53","211.7","0.02","0.79","16.48","6.55","5.99","1999.21","5.35","214.69","299.29","47.13","571.13","492.75","78.39","907.59","564.69","3.31","358.5","345.54","112.69","678.76","16096.65","138.3","16234.95",
"2018","Q2","3789.72","3378.03","283.58","48.01","80.1","3842.93","1443.69","1418.07","2.21","1.56","21.85","1539.57","37.21","137.47","702.37","339.76","47.75","12.82","38.72","59.25","55.26","1.21","39.73","7.51","60.51","77.31","34.49","747.86","8947.86","2728.13","105.4","216.35","185.62","0.06","1.41","15.75","11.27","2.24","2259.56","5.15","171.39","354.44","38.37","549.43","461.42","88.01","1131.76","594.97","3.32","380.01","297.29","118.79","524.47","16580.51","138.12","16718.63",
"2018","Q3","5288.34","4877.08","291.16","43.34","76.76","3971.66","1723.88","1696.61","0.5","1.31","25.46","1599.04","36.64","144.94","718.42","359.36","49.51","13.23","39.4","61.07","55.99","1.32","42.37","6.28","70.53","75.96","28.55","544.23","8821.34","2857.37","157.26","221.42","183.29","0.04","1.55","20.16","14.21","2.17","1907.89","4.38","160.13","226.28","33.65","456.18","393.67","62.51","1175.66","677.86","3.87","365.54","386.57","117.46","460.63","18081.34","223.78","18305.13",
"2018","Q4","4978.78","4486.17","341","50.04","101.57","3853.26","1376.68","1344.16","1.64","0.89","30","1686.42","40.03","145.97","755.42","387.99","51.6","14.14","40.35","59.34","58.86","1.3","46.2","7.14","78.07","104.02","23.71","662.43","10209.4","3141.12","181.03","277.34","234.63","0.07","1.12","21.43","15.56","4.53","2361","4.78","180.79","298.91","37.34","517.93","459.59","58.33","1256.85","706.61","3.94","427.54","478.16","123.77","696.78","19041.44","236.2","19277.64",
"2018","Annual","17544.15","15786.44","1208.13","182.75","366.83","15523.43","6092.48","5995.88","6.82","7.7","82.08","6420.59","143","576.63","2900.15","1443.03","201.35","53.26","154.93","237.96","225.87","4.76","168.42","28.6","282.64","289.29","115.78","2605.29","36732.37","11473.79","620.19","956.64","815.24","0.18","4.88","73.81","47.6","14.93","8527.66","19.66","727.01","1178.92","156.48","2094.68","1807.43","287.24","4471.86","2544.14","14.44","1531.58","1507.56","472.7","2360.64","69799.94","736.41","70536.35",
"2019","Q1","3597.92","3144.59","294.97","42.27","116.09","3871.8","1527.06","1514.64","3.24","3.01","6.17","1608.46","14.67","152.41","736.65","359.51","53.22","13.35","37.08","60.44","58.18","0.94","40.71","8.69","72.61","34.71","30.12","671.45","8964.84","2770.45","183.83","288.64","257.17","0.02","0.8","17.98","6.69","5.98","2188.81","5.35","217.13","306.26","50.49","527.75","447.34","80.4","916.06","574.48","3.36","307.55","346.17","112.51","694.74","16434.55","135.18","16569.73",
"2019","Q2","3857.71","3443.61","283.56","49.56","80.98","3952.22","1544.77","1519.8","2.38","1.5","21.09","1537.52","28.34","139.65","710.91","334.93","48.32","13.12","38.23","59.82","56.51","1.24","38.52","7.39","60.55","77.65","39.44","752.83","9121.51","2721.32","108.48","233.71","200.85","0.06","1.4","17.69","11.48","2.23","2463.11","5.39","167.33","365.78","38.68","537.15","445.2","91.95","1088.27","602.16","3.39","367.11","300.16","120.13","537.85","16931.43","144.67","17076.1",
"2019","Q3","5408.98","4994.73","291.22","44.98","78.05","4099.24","1830.51","1806.75","0.66","1.22","21.89","1616.58","25.37","154.9","739.8","355.32","51.19","13.5","39.45","61.63","56.57","1.33","40.23","6.18","71.13","66.98","28.01","557.15","8985.9","2815.89","160.85","261.81","220.27","0.04","1.57","23.23","14.55","2.15","2096.32","4.51","161.78","228.51","34.62","461.05","396.06","64.99","1148.47","660.13","3.99","367.76","391.17","118.47","465.38","18494.11","203.21","18697.32",
"2019","Q4","5093.98","4599.07","340.31","50.67","103.94","3959.09","1460.28","1429.67","1.44","0.87","28.31","1707.26","29.74","147.62","775.71","391.92","52.5","13.97","40.72","60.07","60.68","1.31","46.72","6.99","79.32","95.89","24.54","671.11","10474.65","3122.89","184.7","275.12","228.58","0.07","1.14","24.64","16.15","4.55","2561.68","4.93","182.26","305.4","39.15","622.44","562.24","60.2","1213.55","710.53","3.99","427.8","482.16","123.07","707.57","19527.72","223.21","19750.93",
"2019","Annual","17958.58","16181.99","1210.06","187.47","379.06","15882.35","6362.63","6270.86","7.71","6.6","77.46","6469.83","98.12","594.58","2963.08","1441.68","205.23","53.93","155.47","241.95","231.94","4.83","166.18","29.26","283.61","275.23","122.11","2652.54","37546.9","11430.55","637.86","1059.27","906.87","0.18","4.91","83.53","48.87","14.91","9309.92","20.17","728.49","1205.95","162.94","2148.39","1850.84","297.55","4366.35","2547.3","14.72","1470.22","1519.66","474.17","2405.54","71387.83","706.27","72094.09",
"2020","Q1","3677.15","3219.51","296.84","42.99","117.82","3959.17","1597.02","1591.25","1.83","2.89","1.05","1615.39","6.93","154.95","744.75","363.21","53.88","13.61","37.29","59.62","58.92","0.92","41.2","8.78","71.32","33.91","30.06","682.79","9105.49","2692.25","178.33","296.78","264.44","0.02","0.8","19","6.59","5.92","2356.23","5.35","217.84","311.8","51.26","637.49","554.72","82.77","872.53","572.26","3.29","280.72","348.56","113.7","702.09","16741.81","151.46","16893.27",
"2020","Q2","3918.67","3493.04","289.96","50.09","85.58","3476.09","1442.81","1419.04","2.63","1.39","19.75","1402.57","9.16","131.92","689.55","286.58","43.14","9.42","39.68","46.19","50.43","0.89","35.81","7.91","51.89","75.32","41.69","513.69","8503.18","2269.99","64.89","118.65","97.67","0.02","1","7.54","10.2","2.22","2834.91","4.4","159.63","397.91","35.22","636.49","571.69","64.8","848.91","509.35","3.31","374.51","227.75","122.4","456.8","15897.93","146.58","16044.51",
"2020","Q3","5484.06","5063.61","297.89","46.13","76.44","3848.24","1588.52","1555.77","0.57","1.14","31.04","1592.21","8.04","173.42","781.01","312.24","48.57","12.53","42.05","54.09","52.63","1.06","38.08","6.62","61.86","64.53","30","572.98","8492.18","2474.5","124.48","149.28","117.54","0.02","1.3","14.2","14.05","2.17","2401.46","4.25","164.39","235.9","33","475.84","422.98","52.86","994.52","592.06","3.94","380.9","310.04","121.81","430.33","17824.48","285.11","18109.6",
"2020","Q4","5268.29","4768.37","348.42","51.3","100.2","3670.22","1191.05","1147.14","1.1","0.79","42.02","1681.42","12.93","157.34","792.35","370.18","50.84","13.34","40.4","54.11","60.82","1.16","44.88","7.13","75.94","93.48","25.01","679.25","10611.64","3022.96","156.93","258.75","225.45","0.06","1","11.9","15.71","4.62","2944.55","4.81","186.84","318.89","38.55","599.87","548.27","51.59","1247.63","671.92","3.78","435.52","427.04","126.83","677.33","19550.15","203.02","19753.16",
"2020","Annual","18348.18","16544.52","1233.11","190.51","380.03","14953.72","5819.39","5713.2","6.13","6.21","93.85","6291.59","37.07","617.63","3007.66","1332.21","196.43","48.9","159.42","214.01","222.81","4.03","159.97","30.44","261","267.25","126.77","2448.72","36712.48","10459.7","524.63","823.47","705.11","0.12","4.1","52.64","46.55","14.93","10537.14","18.8","728.69","1264.49","158.04","2349.68","2097.67","252.02","3963.59","2345.58","14.32","1471.66","1313.39","484.74","2266.54","70014.37","786.17","70800.54",
"2021","Q1","3760.88","3293.95","301.75","43.54","121.64","3996.32","1562.06","1556.07","1.85","3.72","0.42","1670.39","2.97","172.31","797.69","346.76","52.61","13.58","38.75","61.34","59.91","0.88","40.53","9.07","73.99","36.84","34.5","692.52","9069.69","2626.86","170.12","231.81","201.64","0.02","0.75","16.76","6.56","6.07","2508.64","5.28","222.65","319.44","50.68","634.54","555.57","78.98","887.93","550.3","3.27","278.24","326.94","118.98","681.36","16826.89","135.62","16962.51",
"2021","Q2","3969.7","3541.21","290.34","50.63","87.52","3433.35","1265.56","1239.46","3.52","1.69","20.88","1451.51","4.88","137.05","723.16","291.6","43.18","9.54","43.34","47.62","51.48","0.91","36.33","8.29","54.15","134.19","49.4","532.69","9291.62","2780.51","66.17","209.79","187.9","0.03","1.01","7.91","10.62","2.3","2992.38","4.5","167.64","413.19","35.65","620.72","545.76","74.96","881.57","515.84","3.47","368.21","229.2","128.42","459.7","16694.67","209.57","16904.24",
"2021","Q3","5550.94","5132.24","298.26","47.04","73.4","3785.55","1420.85","1388.8","0.54","1.77","29.74","1660.56","4.2","183.27","828.39","315.47","49.23","12.74","46.27","56.21","54.63","1.09","38.93","6.94","63.18","73.8","33.89","596.45","9206.57","2769.06","127.08","180.04","142.35","0.03","1.51","18.93","14.96","2.26","2633.48","4.36","170.04","245.13","34.22","586.38","530.82","55.55","1017.59","598.66","4.07","380.34","314.29","127.89","433.47","18543.05","302.86","18845.92",
"2021","Q4","5456.9","4953.12","349.86","52.02","101.89","3668.56","1117.73","1054.72","1.8","1.16","60.06","1719.79","7.25","165.98","830.72","361.42","48.38","12.89","44.02","56.15","60.99","1.18","45.47","7.42","77.92","96.08","32.23","702.73","11203.61","3184.46","158.92","335.66","293.96","0.08","1.15","19.41","16.31","4.74","3092.56","4.97","192.37","331.9","40.21","744.65","686.4","58.25","1265.99","682.02","3.88","440.44","433.12","133.34","688.37","20329.06","341.05","20670.11",
"2021","Annual","18738.41","16920.52","1240.22","193.22","384.45","14883.77","5366.19","5239.05","7.71","8.33","111.09","6502.26","19.3","658.61","3179.96","1315.24","193.41","48.75","172.38","221.32","227","4.06","161.25","31.73","269.24","340.92","150.01","2524.39","38771.49","11360.9","522.28","957.3","825.87","0.17","4.42","63.01","48.45","15.37","11227.07","19.11","752.7","1309.65","160.77","2586.28","2318.55","267.74","4053.08","2346.82","14.69","1467.23","1303.55","508.63","2262.9","72393.67","989.1","73382.77",
"2022","Q1","3879.73","3391.63","318.5","44.14","125.46","3724.28","1157.69","1150.85","1.61","4.87","0.36","1768.82","1.66","188.81","875.93","342.48","53.81","13.38","42.75","63.52","60.12","0.84","39.93","9.53","76.07","32.72","39.06","726","9745.37","2798.78","173.41","191.45","151.97","0.04","0.8","25.26","7.11","6.26","2811.32","5.45","229.67","330.47","51.85","781.98","696.87","85.11","927.32","560.47","3.39","283.59","333.06","126.01","702.74","17349.38","223.89","17573.27",
"2022","Q2","4017.42","3595.83","282.02","51.28","88.3","3354.31","1125.17","1093.61","4.8","1.26","25.51","1495.12","2.82","143.74","760.08","283.34","44.41","9.7","47.37","49.24","53.01","0.92","37.31","7.63","55.55","118.79","61.12","554.11","9914.15","2905.99","68.17","318.16","293.85","0.02","1.04","9.69","11.14","2.42","3188.31","4.66","157.57","433.43","35.69","735.4","655.22","80.18","920.49","525.94","3.54","375.59","231.85","131.28","473.72","17285.88","192.34","17478.22",
"2022","Q3","5625.36","5200.73","302.9","48.07","73.67","3482.78","1118.13","1073.9","0.31","2.41","41.52","1628.91","2.32","190.85","794.84","302.9","50.31","12.21","51.4","58.46","52.48","1.12","40.1","7.13","64.79","71.18","35.21","629.36","9851.81","2909.77","135.68","254.93","213.08","0.02","1.8","21.69","15.96","2.38","2910.89","4.88","208.15","261.26","36.88","660.84","594.68","66.16","1064.03","611.99","4.23","389.18","317.74","133.75","421.89","18959.95","334.06","19294.01",
"2022","Q4","5568.55","5072.56","344.31","52.87","98.81","3634.21","990.44","913.55","1.48","1.13","74.28","1768.54","4.41","172.44","871.8","357.19","47.36","12.73","47.13","58.49","61.8","1.23","46.28","7.74","79.94","110.71","35.06","729.46","11841.49","3329.16","167.05","338.28","291.97","0.09","1.39","22.9","16.93","4.99","3412.53","5.19","201.14","354.83","43.24","831.13","771.59","59.53","1301.22","701.92","3.99","446.76","438.46","138.94","688.81","21044.25","379.19","21423.44",
"2022","Annual","19091.07","17260.75","1247.72","196.36","386.24","14195.58","4391.42","4231.9","8.19","9.66","141.66","6661.39","11.21","695.84","3302.66","1285.91","195.89","48.03","188.65","229.71","227.41","4.11","163.61","32.03","276.34","333.39","170.45","2638.93","41352.81","11943.7","544.31","1102.81","950.87","0.17","5.04","79.54","51.15","16.04","12323.04","20.17","796.53","1379.99","167.66","3009.35","2718.36","290.98","4213.07","2400.32","15.15","1495.13","1321.11","529.99","2287.16","74639.47","1129.48","75768.95",
"2023","Q1","3844.85","3457.23","221.13","44.68","121.8","3735.98","1111.85","1102.44","1.63","7.42","0.36","1797.29","1.06","191.78","910.12","329.87","55.23","13.59","45.41","65.06","60.73","0.83","39.75","10.04","73.81","35.83","41.23","749.76","10169.24","2835.34","179.63","209.38","164.16","0.02","0.95","30.17","7.66","6.41","3101.31","5.58","235.83","351.28","54.69","949.11","870.82","78.3","943.07","577.74","3.23","289.34","335.47","129.11","561.82","17750.06","244.22","17994.28",
"2023","Q2","4077.72","3661.39","275.52","52.24","88.56","3289.15","988.36","946.74","4.04","2.08","35.5","1528.01","1.82","148.54","792.98","270.93","45.46","9.84","50.4","50.3","54.42","0.93","38.18","7.33","56.86","126.04","73.69","573.06","10352.47","2976.15","70.48","157.03","131.81","0.02","1.1","10.11","11.52","2.47","3462.42","4.78","154.43","458.12","36.6","932.82","846.77","86.04","937.72","541.13","3.61","383.79","235.13","133.84","481.73","17719.34","221.72","17941.05",
"2023","Q3","5698.27","5270.72","306.48","49.13","71.95","3498.69","1096.17","1064.78","0.49","4.08","26.83","1636.75","1.46","198.87","802.11","294.58","51.45","11.75","54.88","59.75","50.27","1.15","39.71","7.34","63.42","72.53","39.41","653.83","10245.32","2954.18","140.52","163.54","120.06","0.03","1.93","22.6","16.58","2.34","3105.77","5.03","206.04","269.56","38.52","847.28","771.06","76.22","1084.24","625.17","4.35","397.17","322.35","137.67","424.56","19442.28","447.37","19889.65",
